Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/BFGDiter_from2PPM_dim50_step1.2e-05_0.0
Iter #: 1690 loss (4961698.9500841079, 2766.5029364182669)
Iter #: 1700 loss (4568529.5676610153, 2770.4270264218253)
Iter #: 1710 loss (5020226.700400318, 2773.9626703465256)
Iter #: 1720 loss (4670654.378942756, 2778.9747357171223)
Iter #: 1730 loss (5012343.3841062048, 2781.806322746269)
Iter #: 1740 loss (4625686.4564155759, 2786.7709097113857)
Iter #: 1750 loss (4993693.4903468816, 2789.9385781494602)
Iter #: 1760 loss (4781815.8334979601, 2794.9583890614517)
Iter #: 1770 loss (5075811.8912391961, 2796.5493974087944)
Iter #: 1780 loss (4644414.4015529845, 2802.3374190051322)
Iter #: 1790 loss (5056803.052959932, 2804.3362785505365)
Iter #: 1800 loss (4650331.807156045, 2809.5518689996584)
Iter #: 1810 loss (5073253.3333155494, 2811.7463813861609)
Iter #: 1820 loss (4567884.7884474294, 2816.778818434148)
Iter #: 1830 loss (4921615.0155453673, 2820.810325968836)
Iter #: 1840 loss (4617880.6219620323, 2824.517324586147)
Iter #: 1850 loss (5128784.5791886188, 2825.9071456404658)
Iter #: 1860 loss (4575196.2762465961, 2831.257258386313)
Iter #: 1870 loss (4866346.5386581542, 2835.8122785698247)
Iter #: 1880 loss (4618470.4907021346, 2838.6337978110719)
Iter #: 1890 loss (5066376.6106329551, 2840.4959479131376)
Iter #: 1900 loss (4641106.7571515767, 2845.5074190755859)
Iter #: 1910 loss (5122196.626736925, 2846.7130836989977)
Iter #: 1920 loss (4610023.6095874999, 2852.1181444086969)
Iter #: 1930 loss (4939544.4854913391, 2855.2472141002777)
Iter #: 1940 loss (4632679.1067948062, 2858.8311487147316)
Iter #: 1950 loss (4989498.3437143536, 2861.3327482049694)
Iter #: 1960 loss (4560435.8469505766, 2864.9986889472925)
Iter #: 1970 loss (4949491.1117676618, 2868.2393776912049)
Iter #: 1980 loss (4626500.6024225485, 2871.9333604989733)
Iter #: 1990 loss (5027474.2621216904, 2873.9686801103899)
Iter #: 2000 loss (4690169.6898793504, 2878.2068537233386)
Iter #: 2010 loss (5077494.2496772707, 2879.4537841342435)
Iter #: 2020 loss (4616569.5902455356, 2884.6801556057881)
Iter #: 2030 loss (5104401.7746812375, 2885.7268142298362)
Iter #: 2040 loss (4637444.7334058844, 2891.096975437883)
Iter #: 2050 loss (5002203.3447414106, 2892.7577405520874)
Iter #: 2060 loss (4662386.2785669155, 2896.9105398936686)
Iter #: 2070 loss (4889068.5950593017, 2900.187661952441)
Iter #: 2080 loss (4717802.4941141549, 2902.6676879520764)
Iter #: 2090 loss (4870004.497005689, 2904.9995077217882)
Iter #: 2100 loss (4753787.8417663658, 2908.3401936665505)
Iter #: 2110 loss (4828211.698301875, 2912.0097491270308)
Iter #: 2120 loss (4869711.284219523, 2915.2022930569224)
Iter #: 2130 loss (4690539.8346778285, 2919.1685808365464)
Iter #: 2140 loss (4806936.4942936227, 2920.6476412256511)
Iter #: 2150 loss (4904872.063686125, 2922.6471957736348)
Iter #: 2160 loss (4651109.832350539, 2925.5446320521974)
Iter #: 2170 loss (4855614.1239018831, 2928.9794692700939)
Iter #: 2180 loss (4859547.7881994285, 2931.0760625817616)
Iter #: 2190 loss (5022833.0284946263, 2931.5045121965877)
Iter #: 2200 loss (4625159.2033674791, 2936.3445046562229)
Iter #: 2210 loss (5079766.9083717484, 2937.2756871986162)
Iter #: 2220 loss (4844322.3675259547, 2941.6386422070691)
Iter #: 2230 loss (4858856.1676436951, 2944.1543518010662)
Iter #: 2240 loss (4648737.2263266416, 2947.8647004571644)
Iter #: 2250 loss (4935790.2351993695, 2950.3126474665924)
Iter #: 2260 loss (4717418.3891868191, 2953.8017261562941)
Iter #: 2270 loss (4822226.9708204251, 2956.1662603229015)
Iter #: 2280 loss (4781305.3163892161, 2957.325983672542)
Iter #: 2290 loss (4611338.9920512717, 2961.1494463290392)
Iter #: 2300 loss (5094557.3319883449, 2961.6103520609186)
Iter #: 2310 loss (4869263.9288574178, 2965.771110070466)
Iter #: 2320 loss (4813705.6190909008, 2969.2611225981668)
Iter #: 2330 loss (4683316.1698928773, 2972.4263638199991)
Iter #: 2340 loss (4705106.0062232073, 2973.9088603345667)
Iter #: 2350 loss (4920915.7998013124, 2975.6516855204991)
Iter #: 2360 loss (4660174.5360752689, 2978.622987148065)
Iter #: 2370 loss (5000107.126743813, 2980.1064342934569)
Iter #: 2380 loss (4646264.6042994708, 2983.7741154514529)
Iter #: 2390 loss (5064812.3166670902, 2984.1186035055512)
Iter #: 2400 loss (4683341.3910879483, 2987.9415808776789)
Iter #: 2410 loss (5023183.1385143921, 2988.5608462842533)
Iter #: 2420 loss (4641635.2098819511, 2991.8065053812556)
Iter #: 2430 loss (4976294.7378776195, 2993.65436175781)
Iter #: 2440 loss (4557394.8533933256, 2996.7640244174609)
Iter #: 2450 loss (4934578.9617988896, 2999.2005829074724)
Iter #: 2460 loss (4704545.1971950158, 3001.4904417605794)
Iter #: 2470 loss (5038914.3346018372, 3001.987849081152)
Iter #: 2480 loss (4879784.1489741355, 3004.3775064923752)
Iter #: 2490 loss (4985872.5789338797, 3007.808307519595)
Iter #: 2500 loss (4770887.5829044506, 3009.8589678560857)
Iter #: 2510 loss (5026604.7170069525, 3011.6658519379075)
Iter #: 2520 loss (4564521.7961258851, 3014.4952223133951)
Iter #: 2530 loss (5084172.0881769694, 3015.1236862877049)
Iter #: 2540 loss (4759319.9230793705, 3019.5436395663178)
Iter #: 2550 loss (4915640.7729638722, 3021.1203630541254)
Iter #: 2560 loss (4543979.3185592471, 3023.2873855207281)
Iter #: 2570 loss (4773510.3635259941, 3027.040172179461)
Iter #: 2580 loss (4857940.3165465621, 3027.6047518955952)
Iter #: 2590 loss (4635036.9708448136, 3031.0894700999015)
Iter #: 2600 loss (4860000.0882798759, 3032.4911940832194)
Iter #: 2610 loss (4843030.1808743635, 3035.3852126032903)
Iter #: 2620 loss (4802879.9463327322, 3037.0770365366293)
Iter #: 2630 loss (4790537.1256481623, 3039.7297204161478)
Iter #: 2640 loss (4860859.6356787113, 3041.9728790323106)
Iter #: 2650 loss (5092642.9603054505, 3042.4999225356742)
Iter #: 2660 loss (5010371.4598053759, 3044.9730077597424)
Iter #: 2670 loss (4788699.3717109999, 3046.7593359006614)
Iter #: 2680 loss (4768465.8521336447, 3051.063663355038)
Iter #: 2690 loss (4917211.3154064268, 3051.0656168915825)
Iter #: 2700 loss (4881020.4006715473, 3052.7931365326781)
Iter #: 2710 loss (5013935.4340906972, 3054.9388796372082)
Iter #: 2720 loss (4825196.2794799861, 3058.2260853956118)
Iter #: 2730 loss (4846279.7379741166, 3058.620036855229)
Iter #: 2740 loss (5119100.0206912188, 3059.6002733629662)
Iter #: 2750 loss (4847514.3554103812, 3062.9525444739879)
Iter #: 2760 loss (4826836.8672977583, 3064.8074546941239)
Iter #: 2770 loss (4581133.8277391307, 3068.3238437587884)
Iter #: 2780 loss (4638539.3041037191, 3070.6999473591768)
Iter #: 2790 loss (4546084.8382157711, 3071.8242044601407)
Iter #: 2800 loss (4837860.0699188886, 3072.6043699833203)
Iter #: 2810 loss (4996469.6390731549, 3074.0990022515643)
Iter #: 2820 loss (4901047.6099968487, 3076.4245226127764)
Iter #: 2830 loss (4613658.447314268, 3080.3982730060748)
Iter #: 2840 loss (4714323.3521188768, 3081.7929990155603)
Iter #: 2850 loss (4604674.6734869257, 3082.5990630122419)
Iter #: 2860 loss (5002662.9439141368, 3082.8311463356013)
Iter #: 2870 loss (5064083.3336557411, 3084.045038869273)
Iter #: 2880 loss (4930038.6380513236, 3086.986202729955)
Iter #: 2890 loss (5023705.5823761383, 3087.7910303639164)
Iter #: 2900 loss (4556601.1740184547, 3090.4376159017943)
Iter #: 2910 loss (4962369.6800608411, 3091.5881025747012)
Iter #: 2920 loss (4603643.0396317411, 3093.8999591717061)
Iter #: 2930 loss (4924759.5824860968, 3095.1797956972568)
