Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/BFGDiter_from2PPM_dim50_step1e-05_0.0
Iter #: 1550 loss (4573027.4622797063, 2625.580760272805)
Iter #: 1560 loss (4572600.3362975968, 2630.9614952658358)
Iter #: 1570 loss (4572177.3317714836, 2636.3050160009739)
Iter #: 1580 loss (4571758.3818781031, 2641.6117235791257)
Iter #: 1590 loss (4571343.4214458624, 2646.8820122257189)
Iter #: 1600 loss (4570932.3869009726, 2652.1162694636182)
Iter #: 1610 loss (4570525.2162158797, 2657.3148762800665)
Iter #: 1620 loss (4570121.8488594713, 2662.4782072878947)
Iter #: 1630 loss (4569722.225749298, 2667.6066308812783)
Iter #: 1640 loss (4569326.2892056052, 2672.7005093862763)
Iter #: 1650 loss (4568933.9829070251, 2677.7601992063778)
Iter #: 1660 loss (4568545.2518479796, 2682.7860509632833)
Iter #: 1670 loss (4568160.0422976436, 2687.7784096331134)
Iter #: 1680 loss (4567778.3017604584, 2692.7376146782522)
Iter #: 1690 loss (4567399.978938058, 2697.6640001750015)
Iter #: 1700 loss (4567025.023692606, 2702.5578949372234)
Iter #: 1710 loss (4566653.3870114852, 2707.419622636136)
Iter #: 1720 loss (4566285.0209732428, 2712.2495019164207)
Iter #: 1730 loss (4565919.8787147766, 2717.0478465087863)
Iter #: 1740 loss (4565557.9143997077, 2721.8149653391429)
Iter #: 1750 loss (4565199.0831878567, 2726.5511626344978)
Iter #: 1760 loss (4564843.3412058912, 2731.256738025726)
Iter #: 1770 loss (4564490.6455188701, 2735.9319866473247)
Iter #: 1780 loss (4564140.9541029781, 2740.5771992342584)
Iter #: 1790 loss (4563794.2258190522, 2745.1926622160277)
Iter #: 1800 loss (4563450.4203871572, 2749.7786578080413)
Iter #: 1810 loss (4563109.4983619899, 2754.3354641004148)
Iter #: 1820 loss (4562771.421109153, 2758.863355144264)
Iter #: 1830 loss (4562436.1507823141, 2763.3626010356124)
Iter #: 1840 loss (4562103.6503009666, 2767.833467996978)
Iter #: 1850 loss (4561773.8833292667, 2772.2762184567291)
Iter #: 1860 loss (4561446.8142552832, 2776.6911111262898)
Iter #: 1870 loss (4561122.408171148, 2781.0784010752668)
Iter #: 1880 loss (4560800.6308538159, 2785.4383398045738)
Iter #: 1890 loss (4560481.4487465322, 2789.7711753176159)
Iter #: 1900 loss (4560164.8289408088, 2794.0771521896008)
Iter #: 1910 loss (4559850.7391591258, 2798.3565116350505)
